figure,source,output,width_px,height_px,jpeg_quality,bytes
Figure01_study_area_overview,pnas_nexus_submission/results/figures/Figure01_study_area_overview.png,figures/lowres_watermarked/Figure01_study_area_overview_lowres_watermarked.jpg,2400,1487,88,608470
Figure02_regional_deformation_domain_contrast,pnas_nexus_submission/results/figures/Figure02_regional_deformation_domain_contrast.png,figures/lowres_watermarked/Figure02_regional_deformation_domain_contrast_lowres_watermarked.jpg,2400,1680,88,570079
Figure03_domain_specific_susceptibility,pnas_nexus_submission/results/figures/Figure03_domain_specific_susceptibility.png,figures/lowres_watermarked/Figure03_domain_specific_susceptibility_lowres_watermarked.jpg,2400,1115,88,226892
Figure04_proximity_decomposition,pnas_nexus_submission/results/figures/Figure04_proximity_decomposition.png,figures/lowres_watermarked/Figure04_proximity_decomposition_lowres_watermarked.jpg,2400,1543,88,383373
Figure05_process_zone_ale_stability,pnas_nexus_submission/results/figures/Figure05_process_zone_ale_stability.png,figures/lowres_watermarked/Figure05_process_zone_ale_stability_lowres_watermarked.jpg,2400,1546,88,282547
FigureS1_environmental_predictor_maps,pnas_nexus_submission/results/figures/FigureS1_environmental_predictor_maps.png,figures/lowres_watermarked/FigureS1_environmental_predictor_maps_lowres_watermarked.jpg,2400,1502,88,566726
FigureS2_methodology_diagram,pnas_nexus_submission/results/figures/FigureS2_methodology_diagram.png,figures/lowres_watermarked/FigureS2_methodology_diagram_lowres_watermarked.jpg,2400,1320,88,502688
FigureS3_susceptibility_prediction_maps,pnas_nexus_submission/results/figures/FigureS3_susceptibility_prediction_maps.png,figures/lowres_watermarked/FigureS3_susceptibility_prediction_maps_lowres_watermarked.jpg,2400,1429,88,541963
FigureS4_tlrts_distance_distribution,pnas_nexus_submission/results/figures/FigureS4_tlrts_distance_distribution.png,figures/lowres_watermarked/FigureS4_tlrts_distance_distribution_lowres_watermarked.jpg,2400,1611,88,396848
FigureS5_process_zone_zoom_windows,pnas_nexus_submission/results/figures/FigureS5_process_zone_zoom_windows.png,figures/lowres_watermarked/FigureS5_process_zone_zoom_windows_lowres_watermarked.jpg,2400,1649,88,724343
