n_bins,n_profile_points,linear_intercept,linear_slope,linear_bic,piecewise_break_km,piecewise_break_rounded_0p5_km,piecewise_break_rounded_1p0_km,piecewise_intercept,piecewise_slope_near_0_to_break,piecewise_slope_far_break_to_20,piecewise_bic,bic_improvement_vs_linear,fit_status,target,target_label,profile_group,domain_label,profile_max_km,profile_bin_width_km,min_bin_count,distance_axis,threshold_role,subset_label,pf_dB_transition_km
40,60328,-3.882485465591863,0.1503018494187273,249.52500664055876,3.25,3.0,3.0,-4.958978601397657,0.7209561826215771,0.0633938542721122,139.36897165637234,110.1560349841864,piecewise_fit,d_u,$d_u$ (mm yr$^{-1}$),npf,NPF,20.0,0.5,20,d_B,domain transition threshold,,
40,76171,-5.650137051025359,-0.1157352505151024,214.25437842960127,3.25,3.0,3.0,-5.123740918859808,-0.3867641515427875,-0.0757500269873756,177.32345320348318,36.93092522611809,piecewise_fit,d_u,$d_u$ (mm yr$^{-1}$),pf,PF,20.0,0.5,20,d_B,domain transition threshold,,
40,59294,8.471995264684796,-0.3861097780995836,326.8276844037342,4.25,4.0,4.0,11.003487534937667,-1.5129885451087748,-0.110160518490826,199.57353436843127,127.2541500353029,piecewise_fit,grad_mag_km,$|\nabla d_u|$ (mm yr$^{-1}$ km$^{-1}$),npf,NPF,20.0,0.5,20,d_B,domain transition threshold,,
40,75820,11.4189708250432,0.0580448547397716,213.90905279601228,1.75,2.0,2.0,10.97995354564855,0.4028121746428648,0.0418760306440461,207.60333400669555,6.305718789316728,piecewise_fit,grad_mag_km,$|\nabla d_u|$ (mm yr$^{-1}$ km$^{-1}$),pf,PF,20.0,0.5,20,d_B,domain transition threshold,,
40,82916,-7.876129917643518,0.2770945956063503,314.48248862981546,3.25,3.0,3.0,-9.536783954533416,1.246197997098738,0.0531444847431215,210.91303299142825,103.5694556383872,piecewise_fit,d_u,$d_u$ (mm yr$^{-1}$),pf_all,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,All PF,3.25
40,21054,-6.9212456677409895,0.1921981298323869,260.93452827922863,4.25,4.0,4.0,-8.453433276949436,0.9192520929607524,-0.025241604198757,184.41461331366625,76.51991496556238,piecewise_fit,d_u,$d_u$ (mm yr$^{-1}$),pf_transition,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,"PF transition, $d_B<3.25$ km",3.25
40,61862,-8.161529747656322,0.3073813997693171,301.4323562958504,2.75,3.0,3.0,-9.915427971267814,1.4460985379055424,0.0885551541736955,193.82584014305448,107.60651615279592,piecewise_fit,d_u,$d_u$ (mm yr$^{-1}$),pf_interior,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,"PF interior, $d_B\geq3.25$ km",3.25
40,83433,12.258777888641111,-0.0955076571248716,260.75712993264864,8.75,9.0,9.0,12.613879205117652,-0.2354881393453701,0.1574830826841489,223.46662944287752,37.29050048977112,piecewise_fit,grad_mag_km,$|\nabla d_u|$ (mm yr$^{-1}$ km$^{-1}$),pf_all,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,All PF,1.75
40,12850,12.79815417891018,-0.2308027422660928,234.64786133333072,5.25,5.0,5.0,13.944315602116406,-0.6841725407041932,-0.0470719517946258,202.0689977141118,32.578863619218936,piecewise_fit,grad_mag_km,$|\nabla d_u|$ (mm yr$^{-1}$ km$^{-1}$),pf_transition,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,"PF transition, $d_B<1.75$ km",1.75
40,70583,12.122335848301583,-0.0491020294951678,258.9706475055168,9.25,9.0,9.0,12.45728611671689,-0.1843671535505151,0.2724104382875593,224.2816001643273,34.68904734118951,piecewise_fit,grad_mag_km,$|\nabla d_u|$ (mm yr$^{-1}$ km$^{-1}$),pf_interior,,20.0,0.5,20,d_A,lake/slump neighborhood-background threshold,"PF interior, $d_B\geq1.75$ km",1.75
