target,eval_domain,method,method_label,bin,n,mean_prediction,observed_rate,positive_n,prediction_min,prediction_max
d_u,pf,pf_expert,PF expert,0,1628,0.01454153791585165,0.003071253071253071,5,1e-05,0.02408869815552518
d_u,pf,pf_expert,PF expert,1,1627,0.03420082045340211,0.008604794099569761,14,0.024088698155525185,0.0446043078448811
d_u,pf,pf_expert,PF expert,2,1627,0.05614208756925719,0.02089735709895513,34,0.04465007666707085,0.06853958502604354
d_u,pf,pf_expert,PF expert,3,1627,0.0821337734274712,0.02642901044867855,43,0.06857075722021634,0.09619136538595882
d_u,pf,pf_expert,PF expert,4,1627,0.11176229707324482,0.04240934234787953,69,0.09623614626532997,0.12725568524995456
d_u,pf,pf_expert,PF expert,5,1627,0.14409360905941687,0.05347264904732637,87,0.1272604523070741,0.16255729924955392
d_u,pf,pf_expert,PF expert,6,1627,0.18738988137431384,0.09342347879532882,152,0.1625843634597755,0.219464617985831
d_u,pf,pf_expert,PF expert,7,1627,0.30781010129867753,0.13829133374308544,225,0.21953159653172566,0.8169261135263453
d_u,pf,npf_expert,NPF expert,0,1628,0.12864136980577445,0.012899262899262898,21,0.02329638461445894,0.16648361473675294
d_u,pf,npf_expert,NPF expert,1,1627,0.19167149447404877,0.015365703749231715,25,0.16652860474330086,0.21489937774020323
d_u,pf,npf_expert,NPF expert,2,1627,0.23727664913661078,0.016594960049170254,27,0.21491249565793366,0.2610295962455943
d_u,pf,npf_expert,NPF expert,3,1627,0.29007100308185235,0.02642901044867855,43,0.2611381551905194,0.3217745462051741
d_u,pf,npf_expert,NPF expert,4,1627,0.3613234852693512,0.05224339274738783,85,0.3218249627852518,0.4083675592978685
d_u,pf,npf_expert,NPF expert,5,1627,0.4618336505390534,0.07191149354640443,117,0.4083758022572411,0.5149442254110111
d_u,pf,npf_expert,NPF expert,6,1627,0.5716993235826979,0.0958819913952059,156,0.5150988794007642,0.6321378243336302
d_u,pf,npf_expert,NPF expert,7,1627,0.7114374691929506,0.09526736324523663,155,0.6322039777390887,0.9007017524350266
d_u,pf,dual_expert,Calib. dual,0,1628,0.019523426405070723,0.0018427518427518428,3,0.0002422143063281921,0.02778313353565187
d_u,pf,dual_expert,Calib. dual,1,1627,0.03490789115726054,0.006760909649661954,11,0.02778633480652596,0.04230682308660468
d_u,pf,dual_expert,Calib. dual,2,1627,0.05044800290525121,0.015365703749231715,25,0.042311264468330445,0.059025236982613825
d_u,pf,dual_expert,Calib. dual,3,1627,0.06910233309966797,0.0313460356484327,51,0.0590254660098432,0.0796561042881299
d_u,pf,dual_expert,Calib. dual,4,1627,0.08974770859101816,0.03318992009834051,54,0.07966558143874093,0.10011958925919692
d_u,pf,dual_expert,Calib. dual,5,1627,0.11194241589175544,0.057775046097111246,94,0.10013160283697493,0.12460210265499351
d_u,pf,dual_expert,Calib. dual,6,1627,0.13969997918464314,0.08113091579594345,132,0.12460545286739722,0.1580186457247332
d_u,pf,dual_expert,Calib. dual,7,1627,0.2124062946105443,0.15918869084204057,259,0.15802839868794663,0.6072207699825114
d_u,pf,dual_rank,Rank dual,0,1628,0.02586640143309377,0.005528255528255528,9,0.011774404628027698,0.032762101888708456
d_u,pf,dual_rank,Rank dual,1,1627,0.039301993817675115,0.007990165949600492,13,0.03278066568253483,0.046314613332201646
d_u,pf,dual_rank,Rank dual,2,1627,0.05460905587285803,0.014136447449293177,23,0.04635084226938544,0.06401382575148412
d_u,pf,dual_rank,Rank dual,3,1627,0.073212134009858,0.023355869698832205,38,0.06402084415318751,0.08126507018319305
d_u,pf,dual_rank,Rank dual,4,1627,0.08738244396234555,0.04486785494775661,73,0.0812738157562131,0.09242552407110625
d_u,pf,dual_rank,Rank dual,5,1627,0.09616872224652612,0.07006760909649662,114,0.09243534986736639,0.09950542592522901
d_u,pf,dual_rank,Rank dual,6,1627,0.10222276770654527,0.0958819913952059,156,0.09950542592522901,0.10489961107965125
d_u,pf,dual_rank,Rank dual,7,1627,0.10686629536166878,0.12476951444376153,203,0.10489961107965125,0.10842349647859302
d_u,pf,pooled_baseline,Pooled baseline,0,1628,0.017302733654430063,0.003071253071253071,5,1e-05,0.0275880027320557
d_u,pf,pooled_baseline,Pooled baseline,1,1627,0.038909038783806534,0.006146281499692686,10,0.027611745041888864,0.051708482055407325
d_u,pf,pooled_baseline,Pooled baseline,2,1627,0.06769454571413212,0.014136447449293177,23,0.0517089855176869,0.0859051121822533
d_u,pf,pooled_baseline,Pooled baseline,3,1627,0.10591745248402235,0.03073140749846343,50,0.08590966431672256,0.12581523585904825
d_u,pf,pooled_baseline,Pooled baseline,4,1627,0.14706052963008323,0.03318992009834051,54,0.1258386408907988,0.1685982450729351
d_u,pf,pooled_baseline,Pooled baseline,5,1627,0.1927753307205504,0.05224339274738783,85,0.16867143001139723,0.2188556674688819
d_u,pf,pooled_baseline,Pooled baseline,6,1627,0.2504961859161491,0.0842040565457898,137,0.21894173957013532,0.29189651843628295
d_u,pf,pooled_baseline,Pooled baseline,7,1627,0.3899411706477388,0.1628764597418562,265,0.291899225791216,0.8787770092473371
d_u,npf,pf_expert,PF expert,0,1282,0.02868643027746557,0.044461778471138844,57,1e-05,0.04042647204515072
d_u,npf,pf_expert,PF expert,1,1281,0.04790895919146202,0.01873536299765808,24,0.040446244912186714,0.05515168698950877
d_u,npf,pf_expert,PF expert,2,1282,0.06190446980350077,0.02106084243369735,27,0.055163732589146156,0.06943170801358803
d_u,npf,pf_expert,PF expert,3,1281,0.07734286469692946,0.03825136612021858,49,0.06944785125845086,0.08586957736314177
