target,domain,method_label,n,AUROC,AUPRC,Brier,top_decile_lift,positive_fraction_pct
d_u,PF,PF expert,13017,0.7574562515753231,0.1347517021555064,0.0511925033518097,2.9246041921563743,4.83214258277636
d_u,PF,Calib. dual,13017,0.7763053942658493,0.1410181198388025,0.0457008363301203,3.43323100818357,4.83214258277636
d_u,PF,Pooled baseline,13017,0.7838978743981688,0.1521274538450955,0.0589387971728849,3.687544416197168,4.83214258277636
d_u,NPF,NPF expert,10252,0.8854368309179973,0.4152427455895515,0.058710986003363,5.684787016273628,7.78384705423332
d_u,NPF,Calib. dual,10252,0.8508762651286562,0.4000738210514969,0.0642088829433961,5.496963656705116,7.78384705423332
d_u,NPF,Pooled baseline,10252,0.8471169991829585,0.3842560011984675,0.0595355481415417,5.221489396004632,7.78384705423332
grad_mag_km,PF,PF expert,12466,0.6531957904125236,0.0917605871039307,0.0487430800588778,2.145734121292099,4.82111342852559
grad_mag_km,PF,Calib. dual,12466,0.6407518582948912,0.0840795818339441,0.0453818189127151,2.0126653385763102,4.82111342852559
grad_mag_km,PF,Pooled baseline,12466,0.6194723921992633,0.0751170010936847,0.0671209141256786,1.6966269796263111,4.82111342852559
grad_mag_km,NPF,NPF expert,11243,0.7629566182502533,0.1108897200835426,0.0303816573205551,4.445761437908497,2.41928310949034
grad_mag_km,NPF,Calib. dual,11243,0.6302142815014985,0.0657807143370277,0.0239244057405533,2.6821535947712416,2.41928310949034
grad_mag_km,NPF,Pooled baseline,11243,0.7293769469778615,0.1058800041721906,0.0255680365869663,4.078343137254902,2.41928310949034
